实验编号,照片,时间/s,点数,参考帧点数,当前帧点数,匹配点数,参考帧缺失点数,当前帧新增点数,平均exx,平均eyy,平均exy,X向力/N,Y向力/N,边界σx/MPa,边界σy/MPa,等效应力/MPa,等效塑性应变,X虚场系数/N每MPa,Y虚场系数/N每MPa,基线X虚场系数/N每MPa,基线Y虚场系数/N每MPa,积分面积/mm2,面积比,有效三角形数,排除点数,积分方法,基线方法,逐点/基线系数差异X/%,逐点/基线系数差异Y/%,阶段1内部虚功X/N,阶段1外部虚功X/N,阶段1残差X/N,阶段1内部虚功Y/N,阶段1外部虚功Y/N,阶段1残差Y/N,阶段2模型等效应力/MPa,阶段2内部虚功X/N,阶段2残差X/N,阶段2内部虚功Y/N,阶段2残差Y/N
S18_XY_2,000003.jpg,0.050000,9312,9312,9312,9312,0,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,,,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000,0.00000000
S18_XY_2,000004.jpg,0.070000,9312,9312,9312,9312,0,0,0.0002114685361,2.111106807e-05,-4.500458407e-05,19.04000000,19.87000000,0.72322114,0.74241563,0.73300689,0.0001232939451,0.005943262598,0.003113867666,0.003076080765,0.006832432437,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,93.20892567,-54.42519637,27.37948241,19.04000000,8.33948241,14.34499714,19.87000000,-5.52500286,,0.00000000,-19.04000000,0.00000000,-19.87000000
S18_XY_2,000005.jpg,0.090000,9312,9312,9312,9312,0,0,0.000354701725,0.0002352312298,-4.619536861e-05,45.54000000,45.37000000,1.72980519,1.69518858,1.71275927,0.0001554148355,0.01198657205,0.01050224787,0.01128104259,0.01379389454,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,6.25411572,-23.86306971,55.21986166,45.54000000,9.67986166,48.38186199,45.37000000,3.01186199,,0.00000000,-45.54000000,0.00000000,-45.37000000
S18_XY_2,000006.jpg,0.110100,9312,9312,9312,9312,0,0,0.0004570951109,0.000287464783,-2.028123117e-05,73.04000000,73.37000000,2.77437354,2.74137064,2.75802019,0.0001063029128,0.01553267335,0.01332097252,0.01405749501,0.01759281432,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,10.49389193,-24.28174209,71.55607711,73.04000000,-1.48392289,61.36719130,73.37000000,-12.00280870,,0.00000000,-73.04000000,0.00000000,-73.37000000
S18_XY_2,000007.jpg,0.130100,9312,9312,9312,9312,0,0,0.000682211182,0.0005565401553,-4.259977426e-05,102.04000000,102.37000000,3.87591835,3.82491635,3.85067068,0.0002160286957,0.02419806988,0.02263316867,0.02488666168,0.02774621218,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-2.76691107,-18.42789740,111.47591375,102.04000000,9.43591375,104.26671094,102.37000000,1.89671094,,0.00000000,-102.04000000,0.00000000,-102.37000000
S18_XY_2,000008.jpg,0.150100,9312,9312,9312,9312,0,0,0.0008258104412,0.0005976696543,-3.914265312e-05,115.54000000,116.87000000,4.38870645,4.36668920,4.37773935,0.0002755641207,0.02884481301,0.0257755235,0.02779631817,0.03269874657,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,3.77206376,-21.17274756,132.88257712,115.54000000,17.34257712,118.74294308,116.87000000,1.87294308,,0.00000000,-115.54000000,0.00000000,-116.87000000
S18_XY_2,000009.jpg,0.170100,9312,9312,9312,9312,0,0,0.00101413085,0.000843186857,-3.434949606e-05,146.04000000,146.37000000,5.54722771,5.46891674,5.50848973,0.0003817889961,0.03614833107,0.03399976383,0.03748107971,0.04143106522,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-3.55579041,-17.93654436,166.52849817,146.04000000,20.48849817,156.63045680,146.37000000,10.26045680,,0.00000000,-146.04000000,0.00000000,-146.37000000
S18_XY_2,000010.jpg,0.190200,9312,9312,9312,9312,0,0,0.001136493735,0.001024843647,-8.736890532e-05,175.54000000,176.87000000,6.66776467,6.60850791,6.63833465,0.0003814063814,0.04127447924,0.04037859837,0.04445177904,0.04736341791,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-7.14774497,-14.74728777,190.14368954,175.54000000,14.60368954,186.01653648,176.87000000,9.14653648,,0.00000000,-175.54000000,0.00000000,-176.87000000
S18_XY_2,000011.jpg,0.210200,9312,9312,9312,9312,0,0,0.001244998765,0.001082534733,-9.778315075e-05,206.04000000,206.37000000,7.82628593,7.71073544,7.76915518,0.0002718880441,0.04528424795,0.04346993778,0.0474656317,0.05141641354,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-4.59571204,-15.45513429,208.61593271,206.04000000,2.57593271,200.25775020,206.37000000,-6.11224980,,0.00000000,-206.04000000,0.00000000,-206.37000000
S18_XY_2,000012.jpg,0.230200,9312,9312,9312,9312,0,0,0.001440633588,0.001294807815,-6.899086547e-05,236.54000000,236.37000000,8.98480719,8.83164480,8.90921345,0.0003462577872,0.05242629756,0.05111178825,0.05621599879,0.05998827656,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-6.74132153,-14.79703839,241.51799928,236.54000000,4.97799928,235.46230447,236.37000000,-0.90769553,,0.00000000,-236.54000000,0.00000000,-236.37000000
S18_XY_2,000013.jpg,0.250200,9312,9312,9312,9312,0,0,0.001580977985,0.001506112688,-7.471381388e-05,254.38000000,254.09000000,9.66244717,9.49372859,9.57920231,0.0005010050744,0.0583862875,0.05817514989,0.06430152872,0.06682689215,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-9.19922331,-12.94649800,268.97454139,254.38000000,14.59454139,268.00187052,254.09000000,13.91187052,,0.00000000,-254.38000000,0.00000000,-254.09000000
S18_XY_2,000014.jpg,0.270300,9312,9312,9312,9312,0,0,0.001693696939,0.001564098155,-6.475037365e-05,280.54000000,280.87000000,10.65611655,10.49432700,10.57614994,0.0004085920551,0.06240294691,0.06149430165,0.0673728092,0.07101456234,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-7.37665885,-13.40606824,287.47852869,280.54000000,6.93852869,283.29257250,280.87000000,2.42257250,,0.00000000,-280.54000000,0.00000000,-280.87000000
S18_XY_2,000015.jpg,0.290300,9312,9312,9312,9312,0,0,0.001894122741,0.001689218768,-0.0001231978125,312.04000000,310.37000000,11.85262212,11.59655453,11.72668535,0.0004563345879,0.0689403359,0.06691776004,0.07350832848,0.07871779464,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-6.21425174,-14.99030131,317.59503859,312.04000000,5.55503859,308.27741558,310.37000000,-2.09258442,,0.00000000,-312.04000000,0.00000000,-310.37000000
S18_XY_2,000016.jpg,0.310300,9312,9312,9312,9312,0,0,0.001968569138,0.001913260588,-8.157311694e-05,342.04000000,340.37000000,12.99215123,12.71746389,12.85700849,0.0004126317372,0.0735095635,0.07381343448,0.08122701438,0.08365286554,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-9.50108894,-11.76221638,338.64460264,342.04000000,-3.39539736,340.04447855,340.37000000,-0.32552145,,0.00000000,-342.04000000,0.00000000,-340.37000000
S18_XY_2,000017.jpg,0.330300,9312,9312,9312,9312,0,0,0.002163978373,0.002052009516,-8.837585146e-05,372.54000000,369.87000000,14.15067249,13.81969142,13.98811909,0.0004502228979,0.08008591693,0.07977618682,0.08772240219,0.0913590269,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-8.70528516,-12.67837505,368.94061431,372.54000000,-3.59938569,367.51374652,369.87000000,-2.35625348,,0.00000000,-372.54000000,0.00000000,-369.87000000
S18_XY_2,000018.jpg,0.350400,9312,9312,9312,9312,0,0,0.002292637247,0.00211807421,-9.513090928e-05,402.54000000,399.37000000,15.29020160,14.92191895,15.10942689,0.0003691989179,0.08451033818,0.08324571389,0.09122430486,0.09613747864,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-7.35984418,-13.40971797,389.32308298,402.54000000,-13.21691702,383.49719899,399.37000000,-15.87280101,,0.00000000,-402.54000000,0.00000000,-399.37000000
S18_XY_2,000019.jpg,0.370400,9312,9312,9312,9312,0,0,0.002441466488,0.002292495356,-5.908189636e-05,416.54000000,413.87000000,15.82198185,15.46369180,15.64591393,0.0005158195738,0.09008221436,0.08938416436,0.09827738812,0.1028095836,627.90800238,0.89114716,18240,0,pointwise_triangle,mean_strain_rectangle,-8.33881925,-13.05852896,414.99165869,416.54000000,-1.54834131,411.77587488,413.87000000,-2.09412512,,0.00000000,-416.54000000,0.00000000,-413.87000000
